month,category,monthly_income,prev_month_expense,savings_rate,expense_ratio,safe_spending_limit
10,Food,48322,4638.14,0.904,0.096,34179.03
7,Bills,191792,14627.93,0.9237,0.0763,131131.39
11,Rent,126790,24382.2,0.8077,0.1923,85900.96
9,Entertainment,356542,27491.51,0.9229,0.0771,241108.3
8,Groceries,22576,2128.66,0.9057,0.0943,16207.12
5,Medical,434286,32505.48,0.9252,0.0748,303426.41
9,Groceries,21190,3558.33,0.8321,0.1679,14640.21
12,Investment,22114,3391.73,0.8466,0.1534,16075.27
12,Travel,131921,30686.34,0.7674,0.2326,94466.09
3,Medical,197007,16706.27,0.9152,0.0848,133822.33
5,Entertainment,48802,2868.32,0.9412,0.0588,33362.31
9,Medical,22449,1736.26,0.9227,0.0773,14649.71
7,Medical,15404,1378.82,0.9105,0.0895,10997.25
5,Rent,400244,67188.9,0.8321,0.1679,286888.32
1,Groceries,221949,22245.99,0.8998,0.1002,144611.52
3,Food,35357,6471.33,0.817,0.183,24370.37
1,Entertainment,92808,7821.92,0.9157,0.0843,64899.3
12,Food,65781,8768.04,0.8667,0.1333,47871.99
6,Groceries,194456,25170.85,0.8706,0.1294,138134.83
10,Groceries,416464,48732.65,0.883,0.117,296528.46
9,Entertainment,56254,1464.44,0.974,0.026,37111.77
3,Rent,141240,39853.28,0.7178,0.2822,94019.15
10,Medical,311195,6697.83,0.9785,0.0215,221135.61
9,Bills,412890,29073.12,0.9296,0.0704,272915.52
10,Shopping,335504,37238.84,0.889,0.111,238365.1
8,Food,33150,4446.49,0.8659,0.1341,22133.28
7,Food,68030,8451.89,0.8758,0.1242,45374.17
5,Entertainment,20750,912.16,0.956,0.044,13661.45
4,Bills,18596,2027.25,0.891,0.109,12200.55
8,Investment,37910,5094.75,0.8656,0.1344,25394.56
2,Investment,154553,24253.24,0.8431,0.1569,100540.96
6,Entertainment,316421,13572.75,0.9571,0.0429,223523.13
8,Travel,23434,4502.4,0.8079,0.1921,16822.4
6,Medical,187886,5982.97,0.9682,0.0318,134349.07
10,Rent,63703,32301.59,0.4929,0.5071,46232.57
12,Groceries,136976,16127.08,0.8823,0.1177,98575.8
2,Investment,24093,2431.93,0.8991,0.1009,16204.1
1,Travel,26619,686.52,0.9742,0.0258,18184.01
1,Travel,78253,15889.38,0.7969,0.2031,51545.31
2,Rent,55256,12922.8,0.7661,0.2339,38138.42
11,Bills,208007,21618.74,0.8961,0.1039,146751.26
10,Bills,116984,13819.33,0.8819,0.1181,85384.35
1,Groceries,17712,1883.69,0.8936,0.1064,11796.75
6,Rent,91157,27715.7,0.696,0.304,60140.74
4,Entertainment,467552,30492.37,0.9348,0.0652,327047.31
1,Shopping,67334,7640.28,0.8865,0.1135,47899.63
4,Investment,21028,4617.3,0.7804,0.2196,14384.1
2,Rent,103756,25599.84,0.7533,0.2467,69952.16
8,Medical,64153,2375.01,0.963,0.037,42992.46
10,Investment,52443,9588.33,0.8172,0.1828,39804.88
4,Travel,180879,24482.8,0.8646,0.1354,124868.04
6,Rent,47408,19324.88,0.5924,0.4076,33886.75
5,Shopping,20732,1454.91,0.9298,0.0702,14228.76
9,Travel,342766,20573.87,0.94,0.06,230799.75
10,Medical,149688,7148.12,0.9522,0.0478,104676.15
9,Entertainment,95719,2588.56,0.973,0.027,64304.32
11,Medical,294270,12310.17,0.9582,0.0418,211535.52
8,Groceries,121566,9767.39,0.9197,0.0803,82649.71
1,Investment,77965,14084.02,0.8194,0.1806,54574.26
12,Groceries,31645,4153.37,0.8688,0.1312,22423.28
10,Rent,63087,20546.18,0.6743,0.3257,44312.93
1,Bills,309575,16180.89,0.9477,0.0523,201650.88
5,Rent,18310,8150.55,0.5549,0.4451,12933.67
4,Shopping,62175,6223.52,0.8999,0.1001,41689.6
10,Entertainment,31150,2825.57,0.9093,0.0907,23382.4
1,Travel,33705,2683.93,0.9204,0.0796,22804.08
5,Medical,114596,8298.6,0.9276,0.0724,76248.25
12,Investment,36093,4299.24,0.8809,0.1191,25569.65
1,Bills,28186,2610.26,0.9074,0.0926,18829.72
2,Entertainment,91401,7703.98,0.9157,0.0843,62799.46
9,Medical,30475,743.96,0.9756,0.0244,20869.97
5,Medical,101622,3181.81,0.9687,0.0313,70304.02
9,Travel,146828,7501.76,0.9489,0.0511,99376.08
2,Medical,28629,1885.27,0.9341,0.0659,19817.58
5,Investment,45508,8454.23,0.8142,0.1858,31878.69
7,Investment,78769,24469.35,0.6894,0.3106,52384.99
4,Rent,174478,39477.87,0.7737,0.2263,120700.22
10,Food,39536,3628.69,0.9082,0.0918,28676.9
7,Rent,37312,15200.68,0.5926,0.4074,26067.24
3,Travel,48051,2555.13,0.9468,0.0532,31693.35
7,Groceries,28640,2868.71,0.8998,0.1002,20366.08
7,Travel,211344,24431.47,0.8844,0.1156,144614.19
10,Entertainment,75064,9401.91,0.8747,0.1253,52208.18
2,Entertainment,23007,1758.19,0.9236,0.0764,15687.55
1,Investment,50614,4615.3,0.9088,0.0912,33171.74
10,Entertainment,334055,19441.18,0.9418,0.0582,246683.43
10,Food,23684,2358.08,0.9004,0.0996,17412.42
7,Shopping,80586,3083.07,0.9617,0.0383,52592.98
8,Bills,112984,8898.45,0.9212,0.0788,79273.05
8,Food,17050,1462.89,0.9142,0.0858,11103.83
1,Bills,19494,2317.97,0.8811,0.1189,13744.13
6,Entertainment,82123,8737.76,0.8936,0.1064,56066.86
9,Entertainment,411169,35866.19,0.9128,0.0872,285957.87
9,Bills,261665,13274.49,0.9493,0.0507,171141.73
1,Rent,16913,5659.02,0.6654,0.3346,11959.32
9,Bills,469431,45326.52,0.9034,0.0966,317984.06
9,Rent,82284,36845.62,0.5522,0.4478,58147.32
11,Food,24610,3955.36,0.8393,0.1607,17402.78
12,Travel,109903,21531.6,0.8041,0.1959,82492.7
11,Groceries,31183,7454.46,0.7609,0.2391,23560.61
11,Bills,21924,2763.26,0.874,0.126,16674.39
7,Travel,20150,3637.86,0.8195,0.1805,14271.23
7,Food,291659,28690.08,0.9016,0.0984,202477.54
8,Rent,37987,7830.3,0.7939,0.2061,24740.55
2,Travel,24439,1421.36,0.9418,0.0582,16001.4
1,Medical,97295,7382.27,0.9241,0.0759,63636.23
12,Shopping,52353,7097.58,0.8644,0.1356,36607.27
10,Entertainment,77082,6081.43,0.9211,0.0789,54988.32
4,Food,348554,37285.54,0.893,0.107,247739.57
12,Travel,193623,47826.52,0.753,0.247,137534.19
6,Food,37155,2711.82,0.927,0.073,25845.64
12,Investment,126385,8154.6,0.9355,0.0645,90702.62
12,Travel,67343,15142.21,0.7751,0.2249,47300.63
4,Bills,16875,958.04,0.9432,0.0568,11656.2
8,Investment,431809,35068.46,0.9188,0.0812,282865.68
6,Bills,42773,5241.63,0.8775,0.1225,27921.07
9,Groceries,96167,8928.11,0.9072,0.0928,62632.2
1,Investment,148787,6013.73,0.9596,0.0404,97626.69
4,Medical,419724,15143.85,0.9639,0.0361,293187.11
7,Groceries,25105,3736.31,0.8512,0.1488,17893.22
9,Entertainment,21917,1856.07,0.9153,0.0847,15699.47
4,Entertainment,103389,6344.76,0.9386,0.0614,72875.63
12,Food,71288,4949.07,0.9306,0.0694,52582.12
8,Entertainment,170316,5708.41,0.9665,0.0335,110954.11
5,Investment,50661,15773.73,0.6886,0.3114,33637.28
6,Groceries,95500,13624.64,0.8573,0.1427,68497.82
8,Shopping,25956,3100.2,0.8806,0.1194,18266.29
2,Groceries,139063,12127.72,0.9128,0.0872,94241.06
2,Shopping,143585,9715.83,0.9323,0.0677,102500.37
2,Investment,148364,31880.1,0.7851,0.2149,100645.94
2,Entertainment,34131,1498.37,0.9561,0.0439,23229.61
8,Entertainment,194588,6718.59,0.9655,0.0345,131809.18
2,Rent,23219,8951.47,0.6145,0.3855,15305.06
11,Rent,432750,126217.69,0.7083,0.2917,300192.61
1,Bills,73499,3931.52,0.9465,0.0535,47963.02
5,Travel,382958,51345.4,0.8659,0.1341,272089.79
4,Food,183194,23472.36,0.8719,0.1281,119739.04
3,Medical,21262,623.55,0.9707,0.0293,14690.49
5,Food,141235,22808.45,0.8385,0.1615,98121.38
8,Food,20342,2016.66,0.9009,0.0991,13411.28
10,Entertainment,101969,2839.25,0.9722,0.0278,72940.43
7,Entertainment,40552,4159.59,0.8974,0.1026,27770.1
8,Investment,22705,6251.69,0.7247,0.2753,16218.35
5,Bills,18124,1372.77,0.9243,0.0757,11841.77
9,Bills,22848,1132.89,0.9504,0.0496,15891.6
3,Medical,191749,14333.68,0.9252,0.0748,136299.61
6,Entertainment,16367,332.42,0.9797,0.0203,11092.44
12,Bills,408786,30133.07,0.9263,0.0737,292751.13
9,Rent,27989,10193.04,0.6358,0.3642,19852.65
10,Bills,131348,10150.12,0.9227,0.0773,96606.43
11,Travel,38178,2820.16,0.9261,0.0739,28258.08
4,Travel,86914,8503.94,0.9022,0.0978,57506.06
5,Shopping,107151,10933.53,0.898,0.102,74005.47
2,Food,46923,4447.02,0.9052,0.0948,30900.3
12,Entertainment,84054,5766.48,0.9314,0.0686,60301.07
7,Medical,112149,5359.02,0.9522,0.0478,80365.78
12,Bills,419861,39803.04,0.9052,0.0948,317629.35
11,Travel,18225,2357.5,0.8706,0.1294,13662.68
7,Food,28040,2041.17,0.9272,0.0728,19932.18
5,Groceries,15630,1428.21,0.9086,0.0914,10385.09
9,Bills,59160,6023.58,0.8982,0.1018,41332.73
7,Bills,82117,9675.04,0.8822,0.1178,54114.08
10,Medical,88467,5765.22,0.9348,0.0652,62176.54
8,Groceries,66456,6427.02,0.9033,0.0967,43519.35
12,Travel,18713,1093.1,0.9416,0.0584,13558.21
6,Medical,32426,746.17,0.977,0.023,21900.72
4,Investment,59686,9730.2,0.837,0.163,42813.76
9,Entertainment,472670,20950.7,0.9557,0.0443,332254.6
4,Rent,18719,7168.11,0.6171,0.3829,12367.07
12,Groceries,393783,55983.14,0.8578,0.1422,286162.24
4,Food,165061,7324.23,0.9556,0.0444,111237.45
2,Bills,15340,1365.4,0.911,0.089,10451.21
7,Medical,164977,14766.52,0.9105,0.0895,117067.64
1,Medical,29107,2366.93,0.9187,0.0813,20708.41
7,Shopping,78495,9484.4,0.8792,0.1208,51147.54
3,Food,70609,14100.19,0.8003,0.1997,50505.99
6,Groceries,33984,5824.32,0.8286,0.1714,23531.8
3,Rent,314099,60681.62,0.8068,0.1932,205663.25
9,Shopping,42347,2295.1,0.9458,0.0542,27887.3
4,Food,177452,12219.1,0.9311,0.0689,115563.51
7,Rent,30179,8584.11,0.7156,0.2844,20021.5
11,Food,19737,1807.42,0.9084,0.0916,13492.19
12,Groceries,56406,11630.68,0.7938,0.2062,40739.4
12,Medical,198723,10526.64,0.947,0.053,138044.2
7,Travel,127605,9816.44,0.9231,0.0769,84138.43
6,Travel,316981,37238.16,0.8825,0.1175,210812.69
5,Travel,313132,46209.06,0.8524,0.1476,205941.13
5,Shopping,110634,4758.66,0.957,0.043,78608.36
8,Rent,133361,28120.2,0.7891,0.2109,94012.99
1,Investment,253352,26661.72,0.8948,0.1052,169195.29
10,Investment,49817,11314.86,0.7729,0.2271,37450.34
7,Investment,22099,7261.66,0.6714,0.3286,15050.06
9,Entertainment,449031,20546.34,0.9542,0.0458,292250.75
5,Investment,347603,34311.25,0.9013,0.0987,244790.98
10,Travel,78138,10767.71,0.8622,0.1378,54866.89
8,Investment,123888,17495.6,0.8588,0.1412,81579.88
9,Bills,126189,13628.79,0.892,0.108,84869.05
11,Investment,125227,10915.21,0.9128,0.0872,89894.72
1,Investment,38070,6368.85,0.8327,0.1673,25747.48
9,Food,149145,18182.96,0.8781,0.1219,99005.87
5,Rent,22031,8885.27,0.5967,0.4033,14718.7
5,Investment,27196,6595.84,0.7575,0.2425,18021.2
6,Medical,78927,9159.83,0.8839,0.1161,51541.08
5,Shopping,38057,4378.99,0.8849,0.1151,26084.64
6,Travel,157804,15155.87,0.904,0.096,108813.99
7,Bills,229725,17100.46,0.9256,0.0744,149471.31
5,Rent,20995,8153.58,0.6116,0.3884,14822.57
10,Travel,52520,9131.51,0.8261,0.1739,37729.88
6,Medical,184899,12368.31,0.9331,0.0669,130003.85
3,Entertainment,136751,5360.66,0.9608,0.0392,92577.19
8,Medical,118313,5993.39,0.9493,0.0507,82664.5
6,Shopping,280073,12544.03,0.9552,0.0448,199187.46
8,Travel,269122,28794.37,0.893,0.107,186298.13
2,Rent,41029,11774.68,0.713,0.287,28099.86
8,Medical,62693,2606.25,0.9584,0.0416,43033.78
7,Groceries,467613,36787.16,0.9213,0.0787,323530.1
11,Bills,59518,8593.41,0.8556,0.1444,43930.35
12,Entertainment,84501,6196.21,0.9267,0.0733,59606.31
1,Medical,443306,13707.23,0.9691,0.0309,317339.51
3,Travel,30017,4544.29,0.8486,0.1514,21197.56
4,Medical,47788,2762.16,0.9422,0.0578,34085.93
8,Bills,79312,3295.46,0.9584,0.0416,52803.21
9,Shopping,137051,11349.42,0.9172,0.0828,89630.51
7,Investment,100162,22129.08,0.7791,0.2209,71028.41
4,Investment,141800,7378.49,0.948,0.052,95603.61
11,Entertainment,29000,998.98,0.9656,0.0344,20654.44
10,Investment,250601,30767.36,0.8772,0.1228,180867.55
3,Bills,16938,1969.59,0.8837,0.1163,11035.83
10,Bills,291006,27521.81,0.9054,0.0946,218805.73
6,Groceries,21566,2884.07,0.8663,0.1337,14749.61
6,Bills,283457,20983.41,0.926,0.074,197163.66
8,Medical,174071,9561.29,0.9451,0.0549,122726.93
10,Shopping,343891,45398.06,0.868,0.132,260562.11
8,Groceries,77624,5304.11,0.9317,0.0683,52976.45
10,Shopping,123648,14512.47,0.8826,0.1174,85288.77
12,Investment,52551,8827.89,0.832,0.168,38801.46
12,Shopping,39889,4859.87,0.8782,0.1218,28813.13
6,Groceries,54135,6156.01,0.8863,0.1137,36565.95
11,Travel,117071,13030.24,0.8887,0.1113,86797.43
7,Travel,23766,3237.06,0.8638,0.1362,16915.09
11,Travel,58438,10010.08,0.8287,0.1713,42934.41
12,Bills,495138,52291.71,0.8944,0.1056,360277.69
5,Investment,118888,16683.92,0.8597,0.1403,78723.27
8,Groceries,320987,22834.0,0.9289,0.0711,218760.53
9,Entertainment,26098,1710.99,0.9344,0.0656,18500.91
11,Rent,61101,14032.55,0.7703,0.2297,42291.6
12,Groceries,20779,4757.95,0.771,0.229,14857.92
12,Groceries,386339,60901.12,0.8424,0.1576,291154.97
8,Medical,67761,2461.92,0.9637,0.0363,44655.81
11,Shopping,88429,3691.75,0.9583,0.0417,65566.62
3,Rent,19178,6086.11,0.6827,0.3173,13758.23
3,Shopping,16531,972.95,0.9411,0.0589,10856.86
8,Shopping,21816,1597.79,0.9268,0.0732,14638.41
11,Shopping,20827,3807.67,0.8172,0.1828,15787.23
1,Rent,274813,61527.75,0.7761,0.2239,191302.21
3,Groceries,144900,14582.96,0.8994,0.1006,102994.72
1,Investment,42111,7342.9,0.8256,0.1744,28306.44
9,Rent,171853,53498.66,0.6887,0.3113,119298.9
3,Shopping,161944,12026.39,0.9257,0.0743,114182.26
12,Food,61093,8875.97,0.8547,0.1453,42828.41
12,Medical,21716,726.15,0.9666,0.0334,15367.45
4,Investment,67839,13611.46,0.7994,0.2006,48151.41
8,Shopping,24405,1491.6,0.9389,0.0611,16840.51
6,Bills,30482,1979.59,0.9351,0.0649,21129.96
11,Entertainment,235634,11776.35,0.95,0.05,171877.23
8,Rent,392512,106004.61,0.7299,0.2701,271835.51
12,Travel,21246,755.37,0.9644,0.0356,14708.19
2,Shopping,38969,3148.03,0.9192,0.0808,26336.56
12,Investment,84542,18756.77,0.7781,0.2219,61131.12
10,Food,341130,19524.75,0.9428,0.0572,251372.16
3,Investment,361445,78333.18,0.7833,0.2167,246295.75
5,Travel,362777,44521.85,0.8773,0.1227,256545.24
6,Food,110516,9372.85,0.9152,0.0848,78501.94
2,Rent,193547,50547.58,0.7388,0.2612,127145.12
10,Bills,97775,6246.36,0.9361,0.0639,69497.15
8,Groceries,139332,9454.17,0.9321,0.0679,96864.66
11,Groceries,144014,16106.92,0.8882,0.1118,104756.67
2,Travel,105744,6602.12,0.9376,0.0624,69738.72
6,Rent,34370,7755.46,0.7744,0.2256,23443.66
10,Travel,48012,12752.22,0.7344,0.2656,35385.19
11,Shopping,23988,1927.0,0.9197,0.0803,17257.43
5,Entertainment,461973,17536.96,0.962,0.038,306576.22
12,Travel,15340,4101.79,0.7326,0.2674,10631.62
3,Groceries,38283,5405.98,0.8588,0.1412,25757.09
5,Entertainment,44218,1861.73,0.9579,0.0421,30213.64
3,Travel,192021,19188.26,0.9001,0.0999,125324.18
12,Travel,76086,17089.5,0.7754,0.2246,56345.25
12,Shopping,87529,14331.76,0.8363,0.1637,60929.07
9,Rent,62991,22776.62,0.6384,0.3616,45268.59
3,Shopping,46083,5876.23,0.8725,0.1275,33167.25
1,Groceries,108016,8208.0,0.924,0.076,72146.41
7,Food,442700,51186.32,0.8844,0.1156,309215.89
5,Food,37413,4363.16,0.8834,0.1166,25702.75
2,Investment,62306,15555.26,0.7503,0.2497,40509.01
4,Bills,51088,3987.24,0.922,0.078,33227.46
9,Groceries,316923,35853.51,0.8869,0.1131,216817.78
6,Rent,108605,28664.79,0.7361,0.2639,75897.84
3,Medical,359292,11303.1,0.9685,0.0315,253522.22
8,Food,146092,14635.81,0.8998,0.1002,99102.56
7,Travel,86469,15268.02,0.8234,0.1766,57532.08
5,Rent,322258,88917.63,0.7241,0.2759,220816.3
4,Investment,40369,8033.83,0.801,0.199,27727.02
4,Travel,31555,5369.81,0.8298,0.1702,21659.73
7,Investment,387450,33349.79,0.9139,0.0861,255472.13
11,Bills,40998,4014.88,0.9021,0.0979,28993.15
8,Bills,24009,1684.94,0.9298,0.0702,17170.33
11,Rent,17624,9472.08,0.4625,0.5375,13194.74
7,Groceries,132441,21309.71,0.8391,0.1609,87376.37
11,Travel,343252,85216.28,0.7517,0.2483,238225.33
12,Travel,55842,3047.08,0.9454,0.0546,40095.11
3,Bills,32935,1956.61,0.9406,0.0594,22367.98
2,Bills,311715,27393.14,0.9121,0.0879,207322.22
2,Bills,414764,22470.29,0.9458,0.0542,278760.36
5,Investment,158283,17992.46,0.8863,0.1137,103360.46
6,Medical,488816,25595.66,0.9476,0.0524,318233.17
8,Food,448933,19700.86,0.9561,0.0439,307294.87
4,Investment,18253,3900.34,0.7863,0.2137,12372.53
7,Groceries,18923,2437.02,0.8712,0.1288,12322.4
9,Food,98861,8229.12,0.9168,0.0832,66557.87
7,Entertainment,23224,939.18,0.9596,0.0404,15582.98
7,Shopping,150124,16335.66,0.8912,0.1088,105810.98
8,Rent,23835,9682.65,0.5938,0.4062,16282.6
10,Shopping,149067,30726.0,0.7939,0.2061,109861.9
9,Groceries,149429,9698.39,0.9351,0.0649,103639.32
3,Travel,48852,6794.53,0.8609,0.1391,32314.21
1,Groceries,58682,9586.89,0.8366,0.1634,41121.33
9,Food,17606,3138.86,0.8217,0.1783,11727.67
2,Travel,16946,4201.07,0.7521,0.2479,11917.44
3,Medical,35541,1747.57,0.9508,0.0492,23225.99
11,Food,22888,4844.27,0.7883,0.2117,17542.39
9,Travel,65449,7081.07,0.8918,0.1082,42876.67
3,Food,25619,3872.32,0.8488,0.1512,18361.21
8,Investment,30366,6825.78,0.7752,0.2248,20231.13
1,Shopping,71542,8102.78,0.8867,0.1133,49000.74
10,Shopping,17468,2079.49,0.881,0.119,12143.67
8,Medical,45022,1984.14,0.9559,0.0441,30779.84
9,Medical,268323,14717.14,0.9452,0.0548,175253.5
3,Shopping,285744,8304.95,0.9709,0.0291,194621.83
1,Food,44149,8383.72,0.8101,0.1899,30470.27
2,Groceries,44392,5138.3,0.8843,0.1157,29171.15
11,Bills,37602,1916.15,0.949,0.051,27793.45
11,Investment,387647,73782.33,0.8097,0.1903,279701.4
5,Travel,37839,6825.23,0.8196,0.1804,26949.77
8,Bills,28180,2067.04,0.9266,0.0734,18381.72
4,Rent,19570,7038.78,0.6403,0.3597,13865.5
2,Investment,477667,57436.09,0.8798,0.1202,325974.56
4,Entertainment,207415,15538.35,0.9251,0.0749,142544.2
12,Medical,465976,19605.66,0.9579,0.0421,318648.74
4,Medical,74917,6214.82,0.917,0.083,50877.34
10,Food,293526,49941.94,0.8299,0.1701,202205.33
6,Travel,127127,10799.87,0.915,0.085,86320.87
11,Food,28273,7207.14,0.7451,0.2549,19251.92
4,Bills,187599,10013.19,0.9466,0.0534,131243.19
1,Bills,62067,4364.09,0.9297,0.0703,41126.44
1,Entertainment,73749,2523.48,0.9658,0.0342,49715.84
9,Bills,38050,2636.74,0.9307,0.0693,27338.8
1,Entertainment,86176,5096.08,0.9409,0.0591,58925.0
4,Food,150719,6827.86,0.9547,0.0453,106381.74
2,Entertainment,16293,787.64,0.9517,0.0483,11213.66
3,Travel,20287,2980.29,0.8531,0.1469,13441.11
11,Bills,85531,5702.17,0.9333,0.0667,64249.18
7,Rent,486479,102706.73,0.7889,0.2111,322576.45
5,Travel,119581,8282.33,0.9307,0.0693,83860.83
11,Groceries,463031,48287.35,0.8957,0.1043,317258.94
4,Medical,146220,9255.65,0.9367,0.0633,103080.54
4,Investment,434231,48476.85,0.8884,0.1116,284301.97
1,Food,429577,58468.32,0.8639,0.1361,301413.54
11,Groceries,39256,4890.74,0.8754,0.1246,27945.12
10,Medical,165303,12261.29,0.9258,0.0742,123236.42
3,Shopping,164619,7069.05,0.9571,0.0429,115112.38
9,Groceries,53849,8191.81,0.8479,0.1521,36983.65
4,Groceries,68689,6170.94,0.9102,0.0898,47591.73
3,Travel,87525,5838.39,0.9333,0.0667,61186.96
12,Groceries,21124,2233.92,0.8942,0.1058,15821.91
10,Medical,464237,35189.15,0.9242,0.0758,324471.63
11,Bills,18676,2221.33,0.8811,0.1189,13782.39
1,Travel,472422,57799.6,0.8777,0.1223,315287.99
5,Food,20485,1645.52,0.9197,0.0803,14185.27
2,Entertainment,51551,5036.85,0.9023,0.0977,36477.94
8,Rent,93326,33109.42,0.6452,0.3548,65482.58
10,Groceries,75069,16726.89,0.7772,0.2228,52538.78
11,Travel,343927,43912.42,0.8723,0.1277,247975.15
12,Food,55668,11341.04,0.7963,0.2037,37885.71
6,Investment,385194,86543.8,0.7753,0.2247,261422.3
1,Medical,33312,943.07,0.9717,0.0283,21817.18
5,Food,40195,8299.69,0.7935,0.2065,28054.48
1,Shopping,62356,8635.57,0.8615,0.1385,42946.86
10,Shopping,23468,4992.6,0.7873,0.2127,17460.46
1,Groceries,17854,1742.8,0.9024,0.0976,12233.9
1,Entertainment,15086,734.86,0.9513,0.0487,10118.42
4,Entertainment,432076,22816.34,0.9472,0.0528,296936.56
6,Medical,144049,2343.69,0.9837,0.0163,102614.73
12,Rent,26673,8541.56,0.6798,0.3202,18375.21
12,Investment,97221,24292.1,0.7501,0.2499,69634.86
10,Groceries,47702,5844.06,0.8775,0.1225,33913.4
5,Entertainment,402160,9351.49,0.9767,0.0233,272435.31
10,Groceries,20126,5862.56,0.7087,0.2913,14679.32
11,Bills,236468,26272.09,0.8889,0.1111,174346.68
6,Bills,143954,11361.32,0.9211,0.0789,97646.85
5,Bills,54234,6688.28,0.8767,0.1233,36024.56
9,Investment,192910,42566.92,0.7793,0.2207,126392.2
6,Shopping,31476,4822.95,0.8468,0.1532,21167.02
6,Investment,99154,6313.5,0.9363,0.0637,67672.28
10,Food,102890,15379.39,0.8505,0.1495,76195.11
9,Travel,20255,2707.53,0.8663,0.1337,14241.19
12,Entertainment,74255,6241.58,0.9159,0.0841,51150.89
10,Shopping,65935,12287.03,0.8136,0.1864,46413.79
8,Investment,82821,9538.85,0.8848,0.1152,55079.6
12,Groceries,141609,17285.93,0.8779,0.1221,106210.64
3,Medical,19334,1614.45,0.9165,0.0835,13684.88
11,Shopping,461497,65114.61,0.8589,0.1411,337726.17
5,Shopping,149145,7673.37,0.9486,0.0514,99654.27
3,Travel,351956,46834.97,0.8669,0.1331,239340.27
8,Entertainment,94535,10651.18,0.8873,0.1127,67038.64
6,Shopping,71372,11669.75,0.8365,0.1635,50395.37
11,Rent,499372,169068.55,0.6614,0.3386,378471.61
12,Travel,99053,8399.3,0.9152,0.0848,72955.61
3,Rent,73993,27546.69,0.6277,0.3723,51135.49
3,Food,15067,2261.05,0.8499,0.1501,10423.04
